#date=2025-05-08 15:37:00
#batch_size=64
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.1
#epochs=200
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
11,0.8644,0.8691,0.8673,0.8659,0.8704,0.8584,0.8644,0.8732,0.8684,0.8428,0.852,1.7869,1.5972,1.8082,1.5979,1.7937,1.899,2.0111,1.8141,1.6771,1.8838,1.7932
12,0.8646,0.8689,0.8696,0.8663,0.8724,0.8608,0.8651,0.8723,0.8731,0.8441,0.8553,1.9934,1.8782,1.754,1.8669,1.5508,1.805,1.8158,1.727,1.7905,1.7266,1.8818
13,0.8631,0.8738,0.8717,0.8693,0.8699,0.8635,0.8654,0.875,0.8723,0.849,0.8631,1.7263,1.6763,1.797,1.8823,1.5713,1.7804,1.9292,1.6234,1.6633,1.8487,1.7463
14,0.8686,0.8747,0.8753,0.8723,0.8715,0.8667,0.8689,0.8733,0.8742,0.8512,0.8591,1.6935,1.682,1.6846,1.7375,1.7004,1.6604,1.9502,1.5963,1.6707,1.5398,1.8009
15,0.8657,0.8755,0.8733,0.8696,0.8722,0.8682,0.8687,0.8775,0.8738,0.8486,0.862,1.7603,1.9016,1.7169,1.5935,1.5876,1.7039,1.7986,1.5994,1.7978,1.9093,1.7888
16,0.8695,0.8748,0.8736,0.8721,0.8745,0.8678,0.8707,0.8752,0.8786,0.8538,0.8605,1.8739,1.6789,1.9759,1.2191,1.748,1.7615,1.948,1.5536,1.6977,1.4235,2.0433
17,0.8723,0.8763,0.8749,0.8773,0.8801,0.8684,0.8685,0.8787,0.8729,0.8571,0.8641,1.8443,1.7245,1.6024,1.5444,1.8069,1.5389,1.5625,1.3295,1.651,1.7293,1.8058
18,0.8736,0.876,0.8774,0.8763,0.8781,0.8696,0.8704,0.8815,0.875,0.8511,0.8625,1.6105,1.8673,1.631,1.6704,1.806,1.7396,1.4971,1.4422,1.5743,1.6802,1.6732
19,0.8702,0.8791,0.8762,0.8754,0.8771,0.87,0.8716,0.8784,0.8795,0.8498,0.8627,1.5206,1.7772,1.8188,1.4223,1.6495,1.4934,1.9013,1.5942,1.8777,1.579,1.7091
20,0.8768,0.8811,0.8774,0.8773,0.8742,0.8689,0.8699,0.8813,0.8756,0.8548,0.8649,2.0482,1.5736,1.545,1.6442,1.5654,1.5147,1.7119,1.1644,1.7701,1.723,1.7048
21,0.875,0.8774,0.8789,0.8731,0.88,0.8702,0.8736,0.8791,0.8781,0.8568,0.8664,1.5859,1.7645,1.6169,1.773,1.6218,1.4093,1.7716,1.3903,1.6491,1.9035,1.5742
22,0.8743,0.8757,0.8783,0.876,0.8772,0.8688,0.8708,0.8766,0.8773,0.8579,0.8625,1.58,1.5037,1.5512,1.6202,1.5115,1.7071,1.7519,1.828,1.4741,1.7282,1.5553
23,0.8735,0.8806,0.8788,0.8743,0.8747,0.8708,0.8738,0.8827,0.8789,0.8559,0.8645,1.5684,1.4958,1.209,1.6274,1.4253,1.3829,1.5386,1.3891,1.4945,1.6452,1.7559
24,0.8716,0.8799,0.8757,0.8707,0.8813,0.8688,0.8723,0.8796,0.8769,0.8553,0.861,1.5492,1.4752,1.445,1.4458,1.2792,1.5064,1.5168,1.6516,1.541,1.4382,1.4613
25,0.8718,0.875,0.8749,0.8747,0.8777,0.8677,0.8746,0.8771,0.88,0.8542,0.8632,1.481,1.5092,1.3511,1.608,1.2936,1.6619,1.4576,1.4418,1.575,1.8916,1.5504
26,0.8727,0.8789,0.876,0.8755,0.8782,0.8705,0.8747,0.8796,0.875,0.8476,0.8667,1.8749,1.6674,1.453,1.5749,1.5842,1.4518,1.5173,1.301,1.4678,1.671,1.5721
27,0.8726,0.8763,0.8777,0.8757,0.876,0.8688,0.8708,0.88,0.8771,0.8539,0.8629,1.513,1.414,1.6426,1.3699,1.237,1.1857,1.6355,1.3978,1.3881,1.3451,1.6877
28,0.8768,0.877,0.8768,0.8733,0.8787,0.8701,0.8676,0.8819,0.8742,0.8543,0.8658,1.455,1.4188,1.3465,1.4083,1.589,1.6066,1.4689,1.5047,1.4742,1.6216,1.8885
29,0.8695,0.8787,0.8739,0.876,0.8768,0.8684,0.871,0.8775,0.8771,0.8545,0.8664,1.444,1.4415,1.5451,1.2811,1.2412,1.503,1.4726,1.5212,1.6003,1.5874,1.4913
30,0.8715,0.8808,0.8776,0.8764,0.8819,0.8707,0.8695,0.881,0.876,0.8559,0.865,1.4189,1.2259,1.4176,1.1017,1.5999,1.3003,1.9201,1.1596,1.4249,1.6684,1.7632
31,0.8691,0.8771,0.8754,0.876,0.8775,0.8722,0.874,0.8782,0.8787,0.8517,0.8652,1.5089,1.2874,1.3308,1.3617,0.9446,1.1885,1.4917,1.1763,1.3618,1.4779,1.6293
32,0.8727,0.883,0.8784,0.8798,0.878,0.8719,0.8738,0.8781,0.8765,0.8521,0.8631,1.4008,1.3603,1.8244,1.253,0.796,1.379,1.5947,1.1347,1.377,1.6156,1.5023
33,0.8716,0.881,0.8758,0.8725,0.8765,0.8697,0.87,0.8804,0.8764,0.8527,0.8638,1.6969,1.3162,1.4046,1.1466,1.2922,1.3189,1.39,1.3104,1.536,1.7736,1.5016
34,0.8703,0.876,0.8761,0.8721,0.8775,0.8741,0.8703,0.8807,0.8797,0.8546,0.8653,1.3446,1.5842,1.2862,1.1538,1.1509,1.3475,1.3427,1.1054,1.1997,1.5598,1.5229
35,0.8709,0.8797,0.8792,0.8751,0.8801,0.8716,0.8707,0.8835,0.8774,0.8542,0.8681,1.3728,1.1281,1.2474,1.4701,1.0932,1.2212,1.3335,1.4439,1.2075,1.4219,1.5182
36,0.8709,0.8766,0.8763,0.8751,0.8754,0.8725,0.872,0.8785,0.8774,0.8505,0.8658,1.2989,1.4024,1.0498,1.3288,1.0863,1.167,1.5531,1.0253,1.3752,1.2154,1.3923
37,0.872,0.8806,0.8747,0.8762,0.8809,0.8696,0.8743,0.8804,0.8764,0.8531,0.8633,1.1604,1.2792,1.0813,1.2947,1.2592,1.2497,1.1819,1.0914,1.1708,1.6036,1.4425
38,0.875,0.8781,0.8772,0.872,0.8769,0.8707,0.8728,0.8779,0.8781,0.8553,0.8651,1.1915,1.0499,1.4272,1.1312,1.1198,1.2578,1.2235,1.0212,1.1627,1.2152,1.428
39,0.8736,0.8782,0.8796,0.875,0.8769,0.8711,0.872,0.8778,0.8789,0.853,0.8639,1.4746,1.3596,1.2217,1.1208,1.1398,1.2397,0.94,1.1629,1.2393,1.3675,1.4596
40,0.8738,0.8772,0.875,0.8765,0.8785,0.8701,0.8748,0.8807,0.8782,0.8539,0.8648,1.1036,1.1971,1.1501,1.2965,1.1047,1.1217,1.1116,1.1245,1.1965,1.5316,1.3189
41,0.8714,0.8774,0.8772,0.8763,0.8774,0.8709,0.8711,0.8773,0.8767,0.8534,0.8635,1.5344,1.047,0.8932,1.183,1.3449,1.326,0.9611,1.1659,1.0316,1.5132,1.3529
42,0.8753,0.8777,0.8769,0.8762,0.8777,0.8728,0.8723,0.8802,0.8744,0.8555,0.8649,1.3165,1.1307,1.1696,1.1427,1.3799,0.9982,1.2824,1.1347,1.2137,1.2573,1.559
43,0.8708,0.8795,0.8761,0.875,0.8746,0.8665,0.874,0.8823,0.8769,0.8507,0.8601,1.1277,0.9801,1.1462,0.9492,0.9889,0.9558,1.2656,1.1544,1.0483,1.3953,1.5941
44,0.8722,0.8745,0.8739,0.8731,0.8797,0.8722,0.8703,0.8809,0.8751,0.8514,0.8659,1.1058,1.1453,1.3839,1.0342,1.0526,1.1948,0.938,1.1169,1.2547,1.3925,1.4811
45,0.8711,0.8754,0.8761,0.8745,0.876,0.8693,0.8726,0.88,0.8766,0.8584,0.8634,1.3197,0.8837,0.9669,0.8303,1.2994,1.1098,1.1302,0.8813,1.0077,1.4659,1.4178
46,0.8733,0.8756,0.8738,0.8738,0.8793,0.8667,0.873,0.8806,0.8783,0.8559,0.863,1.1895,0.9843,0.9397,0.9305,0.8129,1.1456,1.297,0.7639,1.0528,1.2891,1.3696
47,0.8685,0.8776,0.8753,0.8736,0.878,0.8706,0.8709,0.8802,0.8779,0.8564,0.8629,1.4261,0.9965,1.0347,1.1749,1.0839,0.9015,0.9736,1.1233,1.0518,1.4027,1.2477
48,0.8748,0.8758,0.8769,0.8758,0.8775,0.8716,0.8734,0.882,0.8789,0.8526,0.8652,1.4139,0.8559,1.0291,1.1845,0.6855,1.4325,1.136,1.0577,0.901,1.2519,1.3162
49,0.8736,0.8764,0.8784,0.8764,0.8748,0.8689,0.8731,0.878,0.8756,0.8546,0.8632,0.9708,0.7086,1.0064,1.0353,1.0818,1.0996,1.0304,0.7969,1.0889,1.4067,1.2788
50,0.8748,0.8794,0.8775,0.8716,0.8769,0.8688,0.8672,0.8776,0.8765,0.8532,0.8657,0.955,0.8445,0.8673,0.8235,1.0347,1.016,0.8635,1.2797,1.0032,1.3188,1.1718
51,0.8746,0.8767,0.8796,0.8771,0.8778,0.869,0.8733,0.8804,0.8771,0.8541,0.8627,1.0257,0.8154,0.958,1.0428,0.917,1.0529,0.7991,0.9615,0.7872,1.0482,1.0804
52,0.8718,0.8781,0.8817,0.8733,0.8765,0.8698,0.8724,0.8788,0.8763,0.8561,0.8647,1.1408,0.9597,0.8922,0.92,0.9469,0.906,1.2318,0.8982,0.7171,1.0364,1.4371
53,0.8698,0.8766,0.8786,0.8713,0.8752,0.8689,0.8712,0.8803,0.8769,0.8518,0.8648,1.0287,1.0574,1.1777,0.8996,0.8822,1.1143,0.9039,1.2372,1.256,1.3556,1.2194
54,0.8695,0.879,0.8765,0.8745,0.8782,0.8711,0.8703,0.8796,0.8759,0.8587,0.8627,0.9406,0.688,0.9774,0.799,0.9635,0.9415,1.1259,0.8441,0.9319,1.0213,0.9848
55,0.8779,0.881,0.8766,0.8741,0.876,0.8705,0.869,0.8811,0.8772,0.8534,0.8647,1.3708,1.0913,1.1508,1.1127,0.8192,1.0999,0.8969,0.7858,0.9361,1.2535,1.3193
56,0.8719,0.8781,0.8787,0.8793,0.8765,0.8663,0.8728,0.8803,0.8799,0.8557,0.8622,0.8964,0.8221,0.8593,0.9331,0.892,0.9772,0.9961,0.9038,1.1039,1.2287,1.1139
57,0.8735,0.8804,0.8734,0.8787,0.8773,0.8721,0.8737,0.879,0.8777,0.8572,0.863,1.0919,0.8069,0.8182,0.7025,0.6802,1.2533,0.7855,0.6824,0.9498,1.0113,1.5281
58,0.871,0.8757,0.8753,0.8761,0.8768,0.8713,0.8712,0.8748,0.8775,0.8503,0.8634,0.8894,1.1316,0.9356,0.814,1.033,0.5885,0.9643,0.8676,0.8675,1.1357,1.0533
59,0.8764,0.8784,0.88,0.8757,0.8774,0.8695,0.8742,0.8795,0.879,0.8543,0.8664,1.3956,0.8461,0.877,0.7917,0.4898,0.9107,1.0915,0.9082,1.1522,1.2127,1.118
60,0.8694,0.8772,0.8762,0.8752,0.8792,0.8674,0.8707,0.8779,0.8799,0.8551,0.8636,0.9047,0.853,0.779,0.9856,0.9323,1.0628,0.8785,0.7972,0.7037,1.0763,0.9737
61,0.87,0.8767,0.8758,0.8735,0.8775,0.8657,0.8689,0.8814,0.877,0.8535,0.8621,1.0618,0.8182,0.9929,1.0734,0.7256,1.0205,0.7408,0.7537,1.0917,0.9797,1.1625
62,0.8724,0.8759,0.8738,0.8753,0.8804,0.8737,0.8707,0.8786,0.8751,0.853,0.864,0.7515,0.9743,1.0314,0.9741,0.7403,0.9073,1.0333,0.9573,0.8772,1.0616,0.8275
63,0.8751,0.8759,0.8748,0.8783,0.8769,0.8689,0.8687,0.8795,0.8763,0.8528,0.8611,1.0316,0.9746,0.7998,0.811,0.7238,0.9381,0.8779,0.6071,0.7213,0.9532,1.0962
64,0.8715,0.8787,0.8755,0.8737,0.8766,0.8693,0.8708,0.8781,0.8751,0.8578,0.8644,0.4684,0.8971,1.0076,1.0233,1.0925,0.6105,1.1254,0.9514,1.0809,1.1473,0.9202
65,0.8739,0.8754,0.8767,0.8755,0.8773,0.8673,0.874,0.8806,0.8765,0.8542,0.8678,1.1355,0.8457,0.7874,0.8389,0.9688,0.8167,0.7272,0.7779,0.799,0.8177,1.1847
66,0.8687,0.8749,0.8788,0.8748,0.8769,0.8707,0.8705,0.8783,0.8773,0.8539,0.8628,0.7668,0.7354,1.056,0.6866,0.5302,0.7424,0.9427,0.8232,0.9971,0.9218,1.1292
67,0.8738,0.8776,0.8792,0.8761,0.8783,0.8681,0.8738,0.877,0.8779,0.8552,0.8647,1.0424,0.7526,0.6336,0.8305,1.1113,0.9425,0.8871,0.6653,0.7139,1.0783,1.0652
68,0.8728,0.876,0.8762,0.8759,0.8786,0.8679,0.8746,0.8791,0.8754,0.8565,0.8658,0.8568,0.7031,1.0165,0.8421,0.6802,1.012,0.6721,0.7686,0.7267,0.7386,1.0249
69,0.8707,0.8801,0.8776,0.8763,0.878,0.868,0.8691,0.879,0.877,0.8587,0.8614,0.7118,0.596,0.5683,0.8931,0.901,0.8914,0.7845,0.762,0.856,0.8788,1.0016
70,0.8729,0.877,0.8752,0.8764,0.8784,0.8693,0.8722,0.8777,0.8751,0.8535,0.8636,0.5521,0.7375,0.8549,0.7563,0.8266,0.8984,0.8772,0.9469,0.8275,0.8516,0.9363
71,0.8758,0.8765,0.8786,0.8747,0.8761,0.8714,0.8737,0.8773,0.8796,0.8554,0.866,0.6896,0.9092,0.8252,0.6925,0.6258,0.8594,0.7242,0.8307,0.8363,0.9914,0.9492
72,0.874,0.8782,0.8799,0.8769,0.8774,0.8709,0.8736,0.8768,0.8767,0.8527,0.8616,0.7142,0.7354,0.8627,0.629,0.6367,0.8513,1.0622,0.8252,0.5919,0.8047,0.7366
73,0.8727,0.8772,0.8756,0.8765,0.8786,0.8701,0.8746,0.8804,0.8786,0.8542,0.8625,0.8383,0.8039,0.6346,0.8391,0.7482,0.9735,0.7564,1.1557,0.9885,1.0131,1.0255
74,0.8738,0.8768,0.8764,0.8766,0.8779,0.8727,0.8725,0.8778,0.8808,0.8568,0.8653,0.9593,0.5985,0.9535,0.7338,0.8519,0.902,1.0679,0.8991,0.7189,0.8836,0.9006
75,0.8729,0.8782,0.8767,0.8746,0.877,0.8684,0.8715,0.8778,0.8755,0.8534,0.8624,0.8043,0.6809,0.9573,0.6689,0.9031,0.8245,0.7352,0.8179,0.6467,1.2289,1.0085
76,0.8726,0.876,0.8759,0.8764,0.8794,0.8684,0.872,0.8811,0.8755,0.8515,0.8664,1.006,0.7619,1.0183,1.0251,1.1276,1.0046,0.8521,0.9676,0.8188,0.7934,1.1102
77,0.8733,0.8758,0.8783,0.876,0.8743,0.8683,0.8731,0.8787,0.8783,0.8542,0.8653,0.8859,0.834,0.7773,1.0626,0.7285,0.7803,0.8632,0.7467,0.7449,0.9327,0.9839
78,0.8713,0.8777,0.8791,0.8755,0.8794,0.8696,0.8721,0.8794,0.8785,0.8549,0.8636,0.9266,0.7637,0.7981,0.6587,0.7159,0.6372,0.7414,0.8824,0.949,0.9793,0.6925
79,0.8751,0.8761,0.8776,0.875,0.8778,0.8733,0.8735,0.8799,0.8759,0.8528,0.8611,0.8674,0.9222,0.7549,0.6589,0.7525,0.7914,0.6303,0.8637,0.5213,0.6952,0.8208
80,0.8715,0.8778,0.8779,0.8727,0.8766,0.8675,0.8765,0.8784,0.8753,0.8538,0.8598,1.2481,0.7836,0.4034,0.8038,0.6237,0.675,0.6384,1.1159,0.593,0.4513,0.6671
81,0.8733,0.8815,0.876,0.8723,0.8788,0.8684,0.8704,0.8802,0.8746,0.8518,0.8663,0.5108,0.5664,0.7925,0.5357,0.4671,0.6647,0.8685,0.6603,0.5109,0.7481,0.6833
82,0.8694,0.8766,0.8771,0.8744,0.8775,0.8682,0.8697,0.8812,0.8752,0.8553,0.8654,0.8365,0.6195,0.5598,0.6432,0.5594,0.5039,0.7828,0.5169,0.7089,0.7284,0.5812
83,0.8728,0.8788,0.8786,0.8778,0.8796,0.8684,0.873,0.8797,0.8771,0.8533,0.8625,0.4652,0.4214,0.6091,0.6359,0.52,0.5169,0.5998,0.6371,0.8106,0.7901,0.5198
84,0.8752,0.8796,0.8796,0.8721,0.8778,0.8707,0.871,0.8801,0.88,0.8545,0.8678,0.6416,0.4715,0.5971,0.7791,0.72,0.5212,0.6787,0.6852,0.6338,0.6652,0.5329
85,0.8732,0.877,0.8744,0.8763,0.8742,0.8728,0.8739,0.8782,0.8769,0.8561,0.8672,0.6276,0.7404,0.6369,0.6128,0.5771,0.6832,0.5164,0.5141,0.6854,0.6743,0.5032
86,0.8725,0.8778,0.8726,0.8746,0.879,0.8687,0.8719,0.8792,0.8786,0.8552,0.8632,0.4764,0.5209,0.5427,0.6232,0.5893,0.63,0.6313,0.5217,0.4713,0.7498,0.6678
87,0.8742,0.8818,0.8746,0.8774,0.8776,0.8714,0.8689,0.8765,0.8792,0.8552,0.8623,0.5656,0.5045,0.6446,0.4489,0.48,0.3782,0.3503,0.5474,0.5374,0.7265,0.602
88,0.869,0.8804,0.8774,0.875,0.8775,0.8707,0.873,0.8798,0.8747,0.8584,0.8654,0.8192,0.3949,0.4895,0.8353,0.512,0.7739,0.4748,0.4861,0.5278,0.8238,0.4898
89,0.8724,0.8784,0.875,0.8719,0.8794,0.8725,0.8755,0.8782,0.8767,0.8582,0.8631,0.6195,0.4641,0.4918,0.4763,0.3684,0.5085,0.4499,0.5668,0.6079,0.543,0.612
90,0.8756,0.8762,0.8789,0.8757,0.8786,0.8725,0.8728,0.8785,0.8775,0.8521,0.864,0.7706,0.4777,0.4468,0.4066,0.6659,0.8626,0.5343,0.6866,0.5257,0.5514,0.6324
91,0.8755,0.8739,0.8733,0.8733,0.8781,0.8694,0.8724,0.8805,0.8771,0.8571,0.8647,0.5143,0.6789,0.6151,0.4382,0.6989,0.5867,0.4419,0.5694,0.583,0.7278,0.6552
92,0.8753,0.8794,0.8752,0.8755,0.8772,0.8707,0.872,0.8821,0.8795,0.8531,0.8627,0.4443,0.4712,0.6816,0.4552,0.4554,0.4482,0.4148,0.4016,0.6675,0.4912,0.6311
93,0.8762,0.879,0.8749,0.875,0.8787,0.867,0.874,0.8773,0.8776,0.8548,0.8635,0.4522,0.4118,0.2743,0.6957,0.3393,0.515,0.6035,0.5591,0.3777,0.7317,0.4119
94,0.8762,0.8798,0.875,0.8756,0.879,0.8696,0.8733,0.8841,0.8756,0.8537,0.8627,0.5477,0.4243,0.6066,0.5425,0.3542,0.5322,0.4278,0.5003,0.7149,0.6726,0.629
95,0.8724,0.8834,0.8754,0.8737,0.8773,0.8692,0.8732,0.881,0.8742,0.8548,0.8666,0.5029,0.6683,0.5857,0.3967,0.4835,0.6275,0.6141,0.427,0.5038,0.6397,0.3866
96,0.8715,0.8778,0.881,0.8762,0.8798,0.8707,0.872,0.8801,0.8755,0.8536,0.8653,0.4436,0.5018,0.7198,0.3782,0.7577,0.3656,0.2462,0.3107,0.8508,0.3162,1.0454
97,0.8741,0.8787,0.8748,0.8745,0.8766,0.869,0.872,0.8808,0.8767,0.8523,0.8608,0.3735,0.4364,0.4711,0.5759,0.4204,0.2931,0.3571,0.4689,0.6662,0.3641,0.7427
98,0.872,0.8746,0.8755,0.8786,0.8781,0.871,0.872,0.8826,0.8746,0.8569,0.8644,0.4747,0.6059,0.4859,0.6505,0.4573,0.4001,0.4726,0.3571,0.629,0.4625,0.6594
99,0.872,0.8779,0.8785,0.8759,0.881,0.8698,0.8718,0.8779,0.8787,0.8533,0.8642,0.6334,0.3862,0.4066,0.4741,0.588,0.4163,0.6114,0.4863,0.3453,0.6853,0.601
100,0.8727,0.8798,0.8764,0.8727,0.8775,0.8673,0.8709,0.8796,0.8807,0.8544,0.8663,0.3793,0.4366,0.4249,0.5095,0.6023,0.5508,0.6008,0.5103,0.623,0.8367,0.5398
101,0.8717,0.8779,0.8769,0.8765,0.8751,0.8686,0.8717,0.8788,0.8769,0.8552,0.8614,0.6093,0.6183,0.2599,0.3205,0.5282,0.7052,0.4289,0.546,0.4935,0.5677,0.6737
102,0.8742,0.8796,0.8777,0.8764,0.8782,0.8695,0.8751,0.88,0.8771,0.8516,0.8607,0.3876,0.4971,0.7177,0.6247,0.5726,0.4116,0.7348,0.5434,0.6522,0.8515,0.5742
103,0.873,0.8755,0.8767,0.8754,0.8789,0.8694,0.8704,0.8803,0.8791,0.8553,0.8628,0.4466,0.4116,0.6263,0.4271,0.6726,0.5473,0.4504,0.3225,0.3514,0.4974,0.4216
104,0.8714,0.8777,0.8737,0.8781,0.8784,0.8693,0.8766,0.877,0.8776,0.8561,0.8636,0.8083,0.413,0.499,0.3805,0.5232,0.5657,0.4099,0.5854,0.4381,0.5451,0.4428
105,0.8738,0.8746,0.8776,0.8764,0.8776,0.867,0.8744,0.879,0.878,0.8526,0.8618,0.3285,0.3993,0.3788,0.4602,0.3688,0.4572,0.4729,0.2534,0.3618,0.8392,0.3588
106,0.8708,0.8763,0.8769,0.8731,0.8786,0.872,0.8719,0.878,0.8782,0.8547,0.8628,0.7323,0.3481,0.2848,0.6122,0.4757,0.3182,0.7501,0.4437,0.5296,0.4122,0.6072
107,0.8745,0.8795,0.8801,0.8783,0.8792,0.8663,0.8753,0.8803,0.8769,0.8547,0.8667,0.4954,0.254,0.5008,0.617,0.3754,0.6484,0.4804,0.478,0.4191,0.6035,0.5301
108,0.8743,0.8757,0.8777,0.8807,0.8781,0.8681,0.8725,0.8782,0.8796,0.8516,0.8684,0.3034,0.6201,0.4678,0.3263,0.5016,0.4968,0.5243,0.448,0.3888,0.6966,0.3149
109,0.8722,0.8748,0.879,0.8756,0.8794,0.8696,0.8732,0.8766,0.8778,0.853,0.8644,0.3551,0.6351,0.4351,0.4552,0.314,0.3396,0.4043,0.3655,0.4389,0.4679,0.6097
110,0.8726,0.8745,0.8772,0.8727,0.8745,0.8716,0.8754,0.8793,0.881,0.8552,0.863,0.5035,0.5351,0.6443,0.6698,0.3282,0.4834,0.6499,0.4808,0.4994,0.5733,0.5593
111,0.8703,0.879,0.8759,0.8772,0.8761,0.8711,0.8717,0.8799,0.8774,0.8558,0.8651,0.5139,0.4113,0.5825,0.3474,0.2946,0.5901,0.4117,0.4617,0.5325,0.5628,0.5241
112,0.8712,0.8784,0.8783,0.8753,0.8763,0.8693,0.8736,0.8811,0.8779,0.8556,0.8659,0.4794,0.6537,0.5057,0.5795,0.8653,0.4956,0.3507,0.5017,0.5018,0.6291,1.0842
113,0.8687,0.8821,0.8787,0.8719,0.8777,0.8712,0.8717,0.8829,0.8754,0.8554,0.8629,0.3996,0.4467,0.5451,0.5271,0.2955,0.3825,0.3638,0.3078,0.5014,0.5113,0.3703
114,0.8731,0.8795,0.8759,0.8735,0.8751,0.8682,0.8722,0.8784,0.8752,0.8562,0.8638,0.4676,0.3144,0.4527,0.2414,0.4022,0.6145,0.4825,0.3448,0.3831,0.4904,0.5096
115,0.8698,0.8785,0.8772,0.8764,0.8769,0.8751,0.8686,0.8782,0.8797,0.8563,0.8651,0.5437,0.2941,0.456,0.5859,0.3269,0.5513,0.5147,0.4216,0.3369,0.5989,0.6314
116,0.8751,0.8811,0.875,0.8753,0.878,0.8725,0.8765,0.8808,0.8755,0.8558,0.8649,0.4043,0.4622,0.6798,0.5345,0.6155,0.3477,0.4163,0.5135,0.3894,0.4717,0.4802
117,0.8716,0.8825,0.8766,0.8753,0.8732,0.8715,0.8714,0.8773,0.8779,0.8552,0.8678,0.4524,0.5026,0.4168,0.3627,0.3223,0.4771,0.3738,0.3388,0.4419,0.6611,0.4205
