#date=2025-05-13 23:56:24
#batch_size=128
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.2
#epochs=200
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
15,0.8261,0.8614,0.8387,0.837,0.8382,0.833,0.833,0.8554,0.8505,0.8564,0.8477,1.7354,1.4354,1.6631,1.6737,1.674,1.7756,1.8109,1.6985,1.4491,1.5896,1.6002
16,0.826,0.865,0.8405,0.8422,0.84,0.831,0.8326,0.8571,0.8564,0.8584,0.8444,1.7463,1.8119,1.61,1.7658,1.5765,1.8128,1.7216,1.5437,1.4017,1.5503,1.4558
17,0.8239,0.8675,0.8417,0.8391,0.8395,0.8311,0.832,0.8579,0.8566,0.8577,0.8474,1.5688,1.4308,1.5,1.6715,1.6936,1.6656,1.5811,1.5406,1.406,1.6428,1.5625
18,0.8284,0.8669,0.8437,0.8442,0.8429,0.8362,0.8304,0.8573,0.8522,0.8554,0.8498,1.6337,1.4464,1.5266,1.6698,1.5214,1.6218,1.5858,1.3272,1.5775,1.6495,1.3368
19,0.8294,0.868,0.8426,0.8437,0.8439,0.8309,0.8369,0.8563,0.8552,0.8551,0.8503,1.6986,1.2055,1.6341,1.6902,1.4615,1.6698,1.5103,1.4824,1.3541,1.4811,1.5894
20,0.8264,0.8639,0.842,0.8421,0.8429,0.8368,0.8359,0.8565,0.8564,0.8587,0.8471,1.7213,1.1961,1.7213,1.7569,1.6129,1.7006,1.6364,1.4124,1.3298,1.4652,1.4395
21,0.8276,0.8657,0.8436,0.8422,0.8418,0.8363,0.8314,0.8555,0.8574,0.8574,0.8496,1.7005,1.2889,1.5126,1.6838,1.6411,1.7146,1.4209,1.4049,1.3059,1.3793,1.4617
22,0.8249,0.8642,0.8426,0.8414,0.8425,0.8377,0.8335,0.8508,0.856,0.861,0.8504,1.6099,1.13,1.5458,1.4753,1.4179,1.5988,1.3339,1.3781,1.1996,1.5605,1.2306
23,0.8301,0.8648,0.8398,0.8463,0.8391,0.8387,0.836,0.854,0.8534,0.8597,0.8526,1.5244,1.223,1.4404,1.4276,1.356,1.504,1.4545,1.3753,1.3364,1.2552,1.3238
24,0.8256,0.8666,0.8416,0.8426,0.8427,0.8362,0.8337,0.8548,0.8509,0.8569,0.8505,1.7765,1.3055,1.6352,1.6481,1.3285,1.5356,1.2219,1.2865,1.1192,1.1966,1.2789
25,0.8279,0.8664,0.841,0.8421,0.8451,0.8328,0.8336,0.8603,0.8553,0.8589,0.8496,1.6197,1.1494,1.376,1.6224,1.4373,1.6565,1.4385,1.169,1.2581,1.2591,1.1973
26,0.8268,0.869,0.8379,0.8395,0.8445,0.8381,0.8351,0.8541,0.8558,0.8617,0.8482,1.4514,1.2359,1.4059,1.3865,1.3327,1.6678,1.3529,1.1006,1.212,1.203,1.1427
27,0.8291,0.8675,0.8427,0.8437,0.8444,0.8347,0.8319,0.8543,0.8572,0.8582,0.8497,1.3374,1.156,1.3393,1.4771,1.1438,1.498,1.3392,0.9559,1.2544,1.0594,1.2933
28,0.8252,0.8647,0.8408,0.8424,0.8483,0.8374,0.8342,0.8594,0.8578,0.857,0.8501,1.3791,1.0097,1.1936,1.4236,1.3943,1.4734,1.4096,1.2585,1.0855,1.1238,1.1889
29,0.8272,0.8677,0.8348,0.8408,0.8437,0.835,0.8348,0.8542,0.8562,0.8605,0.8506,1.5063,1.2109,1.2219,1.2025,1.2502,1.4327,1.4076,0.8967,1.0271,1.175,1.1333
30,0.8241,0.8685,0.8427,0.845,0.8441,0.836,0.8328,0.8586,0.8565,0.8568,0.8524,1.2685,0.9021,1.2191,1.3437,1.2496,1.4779,1.3364,1.0704,1.087,1.328,0.9906
31,0.8274,0.8653,0.8389,0.8439,0.845,0.8359,0.8337,0.8564,0.8554,0.8613,0.8537,1.517,0.8907,1.2208,1.299,1.216,1.3449,1.369,0.9734,0.9682,1.1001,1.238
32,0.828,0.8645,0.8384,0.8391,0.8446,0.8334,0.8349,0.8597,0.8573,0.8577,0.8524,1.5393,1.152,1.0401,1.4791,1.079,1.2682,1.1691,0.9261,1.2147,1.038,1.0055
33,0.8292,0.8682,0.8416,0.8425,0.8464,0.8345,0.8316,0.8587,0.8577,0.8617,0.8481,1.2776,0.7967,1.1498,1.0904,1.2702,1.345,1.2238,1.0442,1.0463,1.1256,1.0514
34,0.8284,0.8631,0.8426,0.8409,0.8414,0.8358,0.8333,0.8566,0.8557,0.8608,0.8506,1.4201,0.8402,1.0656,1.1279,1.0047,1.268,1.3545,1.0265,1.1189,0.9615,1.0965
35,0.8286,0.8665,0.8416,0.8435,0.8422,0.8381,0.8329,0.8578,0.8529,0.8557,0.8531,1.2094,0.9309,1.1349,0.8078,1.0911,1.2999,1.1438,1.0528,1.0961,0.9954,1.0153
36,0.8283,0.8648,0.8399,0.845,0.8447,0.8325,0.8344,0.8591,0.8579,0.8622,0.8526,1.2822,1.1221,1.1571,1.0242,0.9623,1.2272,1.0678,0.9603,0.9953,1.0013,1.1451
37,0.8299,0.8642,0.8392,0.8458,0.8433,0.8348,0.8301,0.8565,0.857,0.8614,0.8501,1.2209,0.9301,1.0671,0.9067,1.1284,1.0672,1.0774,0.8527,0.9381,1.0098,0.9225
38,0.8294,0.8678,0.837,0.8447,0.8446,0.8368,0.8353,0.8559,0.856,0.8575,0.8489,1.1644,0.9777,0.946,1.1177,0.9411,1.2056,0.9637,0.9125,0.8427,0.8856,0.9932
39,0.8288,0.8636,0.8448,0.8422,0.8438,0.836,0.8344,0.8592,0.8549,0.8582,0.8489,1.2406,0.8054,0.8892,1.025,0.9366,1.1974,0.9096,0.9706,0.9084,1.0509,1.0188
40,0.8306,0.8677,0.8416,0.843,0.8435,0.8291,0.832,0.8601,0.8586,0.8574,0.8495,1.0463,0.977,1.1511,1.0316,1.1476,1.191,1.1472,0.8111,0.8681,1.0178,0.7835
41,0.8249,0.8663,0.8379,0.8419,0.8451,0.8378,0.8364,0.8568,0.8555,0.8597,0.8503,1.0266,0.6788,0.8723,0.7748,0.8712,0.9458,1.0002,0.8182,0.557,0.859,0.7933
42,0.8302,0.867,0.8441,0.8409,0.8423,0.8378,0.8343,0.8548,0.8543,0.8588,0.8538,0.9349,0.8148,0.6869,1.0249,0.8454,0.953,0.9472,0.7374,0.7355,0.7351,0.7201
43,0.8302,0.867,0.8418,0.8397,0.8436,0.8336,0.8359,0.8554,0.8559,0.8594,0.856,0.8905,0.612,0.8407,0.7689,0.9367,0.9225,0.6182,0.5747,0.8035,0.6259,0.5788
44,0.8252,0.8652,0.8415,0.8439,0.8446,0.8359,0.8351,0.8616,0.854,0.8557,0.8484,0.8579,0.656,0.8207,0.8114,0.7628,1.2469,0.7206,0.6567,0.7933,0.6942,0.836
45,0.8316,0.8654,0.8448,0.841,0.8429,0.834,0.8368,0.8587,0.8529,0.86,0.8497,0.8988,0.4649,0.8436,0.9487,0.7691,0.9919,0.8162,0.7689,0.6172,0.7093,0.6342
46,0.8265,0.8653,0.843,0.8409,0.8438,0.8371,0.8361,0.8555,0.855,0.8607,0.8469,0.9487,0.4695,0.7671,0.7685,0.7245,0.9666,0.7038,0.7165,0.6298,0.6663,0.643
47,0.827,0.8638,0.8413,0.8402,0.8432,0.8392,0.8315,0.8589,0.8586,0.8578,0.8478,0.8588,0.5672,0.784,0.7648,0.6718,0.8907,0.7431,0.5623,0.6063,0.6637,0.6718
48,0.8262,0.8659,0.8419,0.8392,0.84,0.8323,0.8343,0.8566,0.8562,0.8603,0.8511,0.9985,0.4399,0.6261,0.8134,0.5898,0.7152,0.8318,0.5328,0.5799,0.7814,1.0943
49,0.8302,0.8664,0.8425,0.8376,0.8426,0.8367,0.8342,0.8554,0.8557,0.8602,0.8503,0.8684,0.6294,0.712,0.7228,0.5573,0.8113,0.8878,0.5155,0.6818,0.5387,0.7239
50,0.8261,0.8661,0.841,0.8423,0.8439,0.8386,0.8309,0.8566,0.8578,0.8611,0.8518,0.9067,0.3828,0.688,0.7167,0.7027,0.705,0.5483,0.6583,0.7678,0.5708,0.7443
51,0.8303,0.8623,0.8402,0.842,0.8423,0.8336,0.8352,0.8576,0.8561,0.8559,0.8474,0.9012,0.353,0.6136,0.8177,0.7402,1.0106,0.6446,0.5427,0.6064,0.873,0.605
52,0.8274,0.8696,0.8407,0.8426,0.8411,0.8346,0.8361,0.8578,0.8556,0.8601,0.8521,0.7738,0.4784,0.7601,0.6633,0.7363,0.886,0.8298,0.4785,0.5798,0.4883,0.6534
53,0.8282,0.8661,0.843,0.8401,0.8397,0.8338,0.8333,0.858,0.8595,0.8584,0.8479,0.6492,0.5534,0.5947,0.6513,0.965,0.8038,0.8195,0.571,0.5005,0.5974,0.8107
54,0.8283,0.8653,0.84,0.8406,0.8435,0.8317,0.8307,0.8564,0.855,0.8606,0.8538,0.7214,0.6058,0.6523,0.6753,0.6322,0.678,0.9746,0.7023,0.602,0.5326,0.533
55,0.8305,0.865,0.8431,0.8442,0.842,0.8326,0.8335,0.8586,0.8563,0.8614,0.8502,0.8313,0.4573,0.657,0.7288,0.6689,0.7197,0.7865,0.593,0.5019,0.7587,0.624
56,0.8294,0.8639,0.8376,0.8445,0.8425,0.8347,0.8326,0.8564,0.8585,0.8582,0.8511,0.9846,0.5807,0.8612,0.7641,0.5958,0.6914,0.6005,0.6033,0.5774,0.5983,0.7617
57,0.8257,0.8681,0.8389,0.8393,0.8417,0.8386,0.8313,0.8584,0.8589,0.857,0.85,0.8149,0.5495,0.6547,0.5549,0.5223,0.7988,0.6392,0.6876,0.6245,0.5786,0.5662
58,0.829,0.8684,0.8429,0.8434,0.8424,0.8332,0.8326,0.8559,0.857,0.8587,0.8469,0.744,0.5457,0.6109,0.7341,0.6909,0.7293,0.5741,0.4586,0.576,0.6238,0.5625
59,0.8279,0.866,0.8429,0.8432,0.8405,0.8349,0.8371,0.858,0.8582,0.86,0.852,0.7547,0.5572,0.7287,0.5289,0.6928,0.8152,0.6764,0.4046,0.5628,0.4994,0.4028
60,0.8279,0.8625,0.8417,0.8461,0.8455,0.8392,0.8332,0.8567,0.8532,0.8601,0.8511,0.7449,0.4655,0.7091,0.4845,0.6146,0.797,0.6852,0.4579,0.5436,0.5475,0.6899
61,0.8285,0.8654,0.8412,0.8416,0.8431,0.837,0.8325,0.8582,0.8561,0.8591,0.852,0.7377,0.5093,0.5897,0.6318,0.7295,0.8074,0.6593,0.5441,0.6009,0.6879,0.6441
62,0.8257,0.8689,0.8405,0.8434,0.8445,0.8376,0.8347,0.8596,0.859,0.8569,0.8532,0.8021,0.5092,0.7539,0.7197,0.6206,0.8173,0.733,0.525,0.4718,0.5679,0.649
63,0.8298,0.8652,0.8437,0.8436,0.8433,0.833,0.8361,0.8584,0.8587,0.8623,0.8508,0.7591,0.5202,0.6292,0.5243,0.5507,0.7078,0.5769,0.6671,0.5204,0.5356,0.4659
64,0.828,0.8662,0.8413,0.8401,0.8425,0.8345,0.8323,0.8588,0.8572,0.8592,0.8487,0.8415,0.5146,0.6596,0.6008,0.7675,0.6823,0.4473,0.4397,0.688,0.4123,0.5497
65,0.8303,0.8667,0.8419,0.8402,0.8441,0.8377,0.8371,0.8579,0.8586,0.8587,0.8542,0.7004,0.589,0.6236,0.5366,0.6216,0.588,0.6108,0.5798,0.5911,0.5218,0.5722
66,0.8268,0.864,0.8428,0.844,0.8422,0.8336,0.8335,0.8563,0.8568,0.8586,0.8487,0.6095,0.3611,0.7698,0.6736,0.6386,0.7307,0.6675,0.5192,0.5775,0.4573,0.5588
67,0.8279,0.8665,0.8432,0.8446,0.8462,0.8386,0.8321,0.8552,0.8542,0.8582,0.8504,0.6593,0.4246,0.6093,0.5425,0.6422,0.7844,0.54,0.5921,0.5292,0.5412,0.481
68,0.829,0.8704,0.8411,0.8415,0.8417,0.8329,0.8354,0.8537,0.8575,0.8586,0.8507,0.6816,0.4162,0.6128,0.5156,0.5135,0.6742,0.5855,0.4937,0.5832,0.5534,0.6077
69,0.8288,0.8661,0.8398,0.8418,0.8444,0.8324,0.8375,0.859,0.8584,0.8624,0.8555,0.6158,0.4511,0.4539,0.6824,0.5824,0.8189,0.6566,0.3761,0.534,0.4828,0.4647
70,0.8308,0.8683,0.8398,0.8463,0.8401,0.8384,0.8331,0.8596,0.8539,0.8624,0.8497,0.8692,0.5061,0.6021,0.592,0.6251,0.8363,0.5977,0.6158,0.5521,0.573,0.6251
71,0.8248,0.8651,0.841,0.8451,0.8442,0.8359,0.8358,0.8595,0.856,0.8655,0.8502,0.7252,0.4476,0.4447,0.6404,0.618,0.7443,0.6541,0.6295,0.4071,0.509,0.543
72,0.8278,0.8665,0.8429,0.8409,0.844,0.8359,0.8374,0.8542,0.8533,0.8592,0.8518,0.7391,0.3838,0.5705,0.5165,0.5788,0.7549,0.5774,0.5171,0.5582,0.553,0.4717
73,0.8293,0.8669,0.8436,0.8484,0.8471,0.8373,0.8335,0.8536,0.8553,0.8585,0.8495,0.7716,0.4576,0.4587,0.5621,0.6616,0.6176,0.5093,0.326,0.4261,0.5206,0.6137
74,0.8256,0.8641,0.8419,0.8402,0.8482,0.8358,0.836,0.862,0.8589,0.8596,0.8536,0.5485,0.3672,0.483,0.5817,0.6032,0.4875,0.4623,0.3986,0.5397,0.4644,0.6188
75,0.8245,0.8636,0.8366,0.8435,0.8457,0.8367,0.8315,0.8555,0.8577,0.8585,0.8519,0.5556,0.3591,0.6219,0.5825,0.581,0.7931,0.4862,0.5175,0.5702,0.5675,0.5214
76,0.8302,0.8625,0.8408,0.8426,0.8423,0.8355,0.835,0.8566,0.8575,0.8585,0.853,0.7161,0.4582,0.5724,0.4857,0.5987,0.6626,0.5925,0.4211,0.4603,0.3958,0.5197
77,0.8293,0.8654,0.8408,0.8438,0.8422,0.8355,0.834,0.8572,0.8548,0.8597,0.8534,0.6791,0.4052,0.495,0.5471,0.5496,0.7176,0.6052,0.4573,0.472,0.3303,0.5279
78,0.8279,0.8656,0.8391,0.8435,0.8437,0.8326,0.8326,0.8567,0.8545,0.863,0.8477,0.7,0.3561,0.5741,0.5354,0.6238,0.7283,0.6737,0.4008,0.4731,0.4061,0.3522
79,0.8312,0.8694,0.8414,0.8418,0.844,0.8317,0.8316,0.8549,0.8566,0.8562,0.8493,0.622,0.2873,0.4394,0.5461,0.6945,0.5999,0.6049,0.6749,0.4599,0.5991,0.5059
80,0.832,0.8637,0.8384,0.8433,0.8432,0.8355,0.8366,0.8605,0.8558,0.8588,0.852,0.7227,0.4125,0.7112,0.5584,0.5303,0.6988,0.5177,0.4207,0.3576,0.4746,0.4848
81,0.8293,0.8647,0.8441,0.8436,0.8416,0.8365,0.8387,0.8542,0.858,0.8579,0.8523,0.3433,0.359,0.5267,0.4851,0.3815,0.7274,0.4135,0.4598,0.4057,0.4123,0.4895
82,0.8291,0.8673,0.8423,0.8422,0.8433,0.8353,0.8335,0.8579,0.8554,0.8635,0.8538,0.5615,0.497,0.528,0.4468,0.5074,0.5466,0.5845,0.4424,0.4954,0.4149,0.4393
83,0.8278,0.8685,0.8419,0.8419,0.8459,0.8372,0.8358,0.8562,0.86,0.8584,0.8514,0.5438,0.4559,0.3873,0.4076,0.3448,0.453,0.2984,0.3656,0.4976,0.3645,0.5131
84,0.8311,0.8677,0.8424,0.8418,0.8421,0.8329,0.8373,0.8577,0.8582,0.8612,0.8551,0.4568,0.3312,0.3585,0.5101,0.478,0.6231,0.5003,0.4058,0.3849,0.3656,0.3755
85,0.8264,0.8653,0.8434,0.8454,0.8415,0.8326,0.8362,0.8596,0.8577,0.858,0.8499,0.4669,0.343,0.4234,0.4937,0.5232,0.4691,0.6017,0.3435,0.4337,0.4561,0.4777
86,0.8257,0.8655,0.8364,0.843,0.8452,0.8355,0.8341,0.8577,0.8533,0.8643,0.8477,0.5076,0.3864,0.4992,0.5117,0.2995,0.5669,0.5327,0.4838,0.3621,0.3694,0.3693
87,0.8309,0.8693,0.8431,0.8409,0.8422,0.8345,0.8323,0.8563,0.857,0.8582,0.8464,0.4091,0.4135,0.548,0.4398,0.5597,0.5237,0.6261,0.4495,0.3059,0.4357,0.4491
88,0.8283,0.8657,0.8423,0.8435,0.8462,0.8352,0.8307,0.857,0.8546,0.8578,0.8515,0.684,0.2705,0.4356,0.6298,0.454,0.446,0.4365,0.2813,0.3694,0.505,0.4287
89,0.8292,0.8688,0.8396,0.8388,0.847,0.8335,0.8331,0.8533,0.8552,0.8558,0.8512,0.3508,0.3203,0.4585,0.4427,0.451,0.4566,0.5181,0.5455,0.4042,0.4577,0.3552
90,0.8287,0.8695,0.8445,0.8452,0.8428,0.8338,0.837,0.8575,0.8591,0.8585,0.8529,0.6429,0.2093,0.3603,0.2866,0.3173,0.5398,0.4322,0.3146,0.4277,0.3792,0.4577
91,0.8277,0.8664,0.8415,0.8394,0.8455,0.8335,0.8298,0.8559,0.8558,0.8596,0.8471,0.5478,0.3218,0.3125,0.4701,0.6582,0.533,0.4029,0.5191,0.3802,0.437,0.4251
92,0.8298,0.8664,0.8394,0.8419,0.844,0.8382,0.8335,0.8565,0.8566,0.8599,0.8466,0.5646,0.4146,0.4894,0.4172,0.4307,0.5683,0.3608,0.3412,0.4069,0.3621,0.2962
93,0.8291,0.8657,0.8403,0.8424,0.8488,0.8344,0.8344,0.8579,0.8524,0.8606,0.8532,0.7507,0.3313,0.3988,0.462,0.467,0.5,0.4701,0.4181,0.3938,0.5968,0.2882
94,0.8332,0.8659,0.8434,0.843,0.8446,0.835,0.8314,0.8513,0.8526,0.8597,0.8557,0.6498,0.2336,0.3753,0.5202,0.5619,0.5559,0.4473,0.4707,0.3937,0.3788,0.4365
95,0.826,0.8671,0.844,0.8417,0.8435,0.8354,0.8339,0.8588,0.8601,0.857,0.8488,0.3566,0.397,0.411,0.5582,0.3706,0.5822,0.5173,0.3386,0.5498,0.4699,0.3185
96,0.8306,0.8646,0.8422,0.844,0.8459,0.8335,0.8325,0.857,0.856,0.8605,0.8496,0.5996,0.4173,0.5192,0.4859,0.4597,0.7045,0.405,0.3913,0.3293,0.3617,0.3895
97,0.8284,0.8646,0.8398,0.8411,0.8424,0.8375,0.8347,0.8595,0.8564,0.857,0.8496,0.6102,0.3674,0.5074,0.4812,0.4023,0.4494,0.4651,0.3491,0.3768,0.4316,0.3483
98,0.83,0.8675,0.8416,0.8415,0.8427,0.8402,0.8351,0.8585,0.8558,0.8606,0.8491,0.4105,0.3364,0.4465,0.359,0.5015,0.4975,0.6075,0.4167,0.3617,0.4028,0.3535
99,0.8308,0.8659,0.839,0.8427,0.8426,0.8341,0.8328,0.8565,0.8565,0.8602,0.8514,0.6372,0.3141,0.4343,0.4584,0.4291,0.4883,0.4705,0.3175,0.4359,0.4645,0.2891
100,0.8274,0.8664,0.8398,0.8436,0.8422,0.8359,0.8374,0.8574,0.8573,0.8565,0.8522,0.4824,0.2571,0.4371,0.4963,0.4966,0.4751,0.5622,0.4039,0.3167,0.416,0.4404
101,0.8268,0.8648,0.842,0.8403,0.8464,0.8371,0.8324,0.8568,0.8547,0.8553,0.8462,0.4693,0.4536,0.4924,0.4606,0.4249,0.379,0.3706,0.4073,0.3668,0.3383,0.3567
102,0.8293,0.8665,0.838,0.8412,0.8419,0.8399,0.8315,0.8604,0.8548,0.8586,0.8485,0.5424,0.4027,0.4678,0.4077,0.2688,0.3328,0.4402,0.3228,0.4266,0.3999,0.4884
103,0.8279,0.8675,0.8404,0.839,0.8418,0.8304,0.834,0.8557,0.8555,0.8559,0.8517,0.3504,0.195,0.4085,0.5394,0.4373,0.4913,0.4083,0.3045,0.4183,0.5327,0.4076
104,0.8267,0.8632,0.8393,0.8435,0.8474,0.8373,0.8326,0.8539,0.8551,0.8585,0.8515,0.512,0.2906,0.3218,0.3498,0.3496,0.4519,0.4609,0.4698,0.3771,0.3513,0.4272
105,0.8269,0.8682,0.8381,0.8416,0.8442,0.8338,0.8335,0.8565,0.8599,0.8572,0.851,0.4889,0.3356,0.4685,0.4397,0.4729,0.5083,0.4863,0.2948,0.473,0.2314,0.274
106,0.8256,0.8653,0.8423,0.8427,0.8483,0.8368,0.8324,0.8571,0.8581,0.8598,0.8508,0.3156,0.3876,0.4485,0.3598,0.3567,0.406,0.4103,0.4194,0.3758,0.2856,0.3085
107,0.8288,0.8687,0.84,0.8434,0.8428,0.8342,0.8373,0.8546,0.8599,0.8575,0.8475,0.5238,0.3171,0.4665,0.4428,0.3844,0.4829,0.5094,0.3707,0.3776,0.3884,0.4294
108,0.825,0.8597,0.8438,0.8352,0.8445,0.8375,0.8301,0.8571,0.8584,0.8599,0.8487,0.5095,0.4252,0.4033,0.4191,0.4043,0.4405,0.2673,0.5018,0.3438,0.3415,0.5054
109,0.8257,0.8657,0.8422,0.8483,0.8436,0.8316,0.8359,0.855,0.8575,0.8585,0.8522,0.3485,0.3522,0.5612,0.4287,0.3885,0.4751,0.4222,0.3959,0.4935,0.2478,0.498
110,0.8304,0.864,0.8408,0.8436,0.8437,0.8356,0.832,0.8573,0.857,0.859,0.8507,0.5491,0.4034,0.4509,0.3308,0.4111,0.5353,0.4771,0.3391,0.2532,0.367,0.3491
111,0.8283,0.8637,0.8396,0.8444,0.8418,0.8346,0.8357,0.8566,0.8547,0.8585,0.8466,0.4701,0.4186,0.4349,0.4481,0.5635,0.4648,0.4054,0.4067,0.4216,0.3479,0.3922
112,0.8274,0.8644,0.8431,0.8403,0.8468,0.8359,0.8333,0.8557,0.8551,0.8578,0.8514,0.3913,0.3013,0.3911,0.4064,0.4515,0.2769,0.463,0.3648,0.4334,0.4404,0.3815
113,0.8279,0.8633,0.844,0.8409,0.8447,0.8378,0.8357,0.8566,0.8582,0.8588,0.8483,0.416,0.3714,0.3822,0.3872,0.4746,0.3852,0.4941,0.2496,0.3533,0.3447,0.4664
114,0.8309,0.8665,0.8386,0.8394,0.8452,0.8357,0.8356,0.8583,0.8591,0.8567,0.8479,0.4707,0.3657,0.3045,0.3785,0.3454,0.336,0.4733,0.4613,0.3553,0.3994,0.4055
115,0.8279,0.8687,0.8368,0.8433,0.8408,0.8344,0.8295,0.8546,0.8556,0.8604,0.8519,0.4595,0.2283,0.3265,0.3977,0.3635,0.4865,0.3514,0.3427,0.3305,0.432,0.3177
116,0.8286,0.8627,0.8355,0.843,0.8425,0.8336,0.8354,0.8595,0.8558,0.8588,0.8516,0.4945,0.4552,0.4498,0.4917,0.4592,0.3105,0.4581,0.425,0.2712,0.2688,0.2971
117,0.827,0.8667,0.8389,0.8395,0.8444,0.8382,0.8363,0.8582,0.8566,0.8557,0.8525,0.4238,0.3972,0.4469,0.3819,0.4292,0.3219,0.5798,0.3367,0.2617,0.46,0.3087
