#date=2025-05-16 04:50:17
#batch_size=48
#test_batch_size=64
#aug_batch_size=2048
#base_lr=0.1
#actual_lr=0.07500000000000001
#epochs=30
#model=CIFAR-ResNet18
#optimizer=Adam
"#scheduler=StepLR(step_size=5, gamma=0.1)"
"#alpha_list=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
#num_workers=2
"#data_augment=RandomCrop, RandomHorizontalFlip, ColorJitter, Normalize"
# mixup_alpha=
# cutmix_alpha=
# randaugment_n=
# randaugment_m=
# randomerasing_p=
epoch,alpha=0.0_acc,alpha=0.1_acc,alpha=0.2_acc,alpha=0.3_acc,alpha=0.4_acc,alpha=0.5_acc,alpha=0.6_acc,alpha=0.7_acc,alpha=0.8_acc,alpha=0.9_acc,alpha=1.0_acc,alpha=0.0_loss,alpha=0.1_loss,alpha=0.2_loss,alpha=0.3_loss,alpha=0.4_loss,alpha=0.5_loss,alpha=0.6_loss,alpha=0.7_loss,alpha=0.8_loss,alpha=0.9_loss,alpha=1.0_loss
11,0.8612,0.8737,0.874,0.8684,0.8763,0.8756,0.8705,0.8747,0.8587,0.871,0.8723,1.8945,1.9511,1.7491,1.8107,1.7928,1.9914,1.7822,2.0373,1.726,2.0054,1.8542
12,0.8644,0.8762,0.8746,0.87,0.8798,0.8775,0.8734,0.8779,0.8612,0.8747,0.8723,1.791,1.7361,1.7294,2.0129,1.6516,1.5383,1.727,1.8658,1.7234,1.6457,1.7178
13,0.8679,0.8811,0.8742,0.877,0.8755,0.8815,0.8736,0.8746,0.8628,0.8762,0.8773,1.7757,1.8348,1.7552,1.9605,1.6048,1.7591,1.9094,1.8345,1.7273,1.5837,1.6674
14,0.8678,0.8796,0.8761,0.8744,0.8788,0.8815,0.8751,0.8828,0.8664,0.8772,0.8811,1.6187,1.8256,1.7188,1.583,1.7429,1.6668,1.8574,1.5404,1.7673,1.6629,1.5755
15,0.8713,0.8814,0.8808,0.8722,0.883,0.8781,0.8776,0.8791,0.8661,0.8763,0.8791,1.6829,1.9113,1.9737,1.6838,1.3783,1.7016,1.7603,1.6991,1.8432,1.7917,1.6631
16,0.8665,0.8828,0.8801,0.8777,0.8809,0.8868,0.8778,0.8836,0.8696,0.8757,0.8834,1.8799,1.4799,1.2309,1.7022,1.3531,1.3172,1.7935,1.7685,1.7598,1.5086,1.4913
17,0.8711,0.8824,0.8812,0.8791,0.8833,0.884,0.8817,0.8834,0.8714,0.8809,0.8824,1.549,1.7241,1.3945,1.6481,1.5846,1.5992,1.69,1.9195,1.6625,1.4939,1.6988
18,0.8732,0.8849,0.8805,0.8765,0.8809,0.8835,0.8796,0.8845,0.8678,0.8813,0.8789,1.7737,1.5921,1.4394,1.8736,1.5419,1.5016,1.6552,1.5571,1.8667,1.368,1.6927
19,0.8715,0.8854,0.8783,0.8786,0.8828,0.8831,0.8796,0.8834,0.8712,0.88,0.8829,1.8137,1.5604,1.2436,1.5815,1.5579,1.5865,1.6773,1.7104,1.7766,1.6332,1.7258
20,0.8736,0.8868,0.885,0.8796,0.8817,0.8871,0.8781,0.8837,0.8711,0.8801,0.8818,1.7816,1.5654,1.3449,1.7951,1.2768,1.4324,1.5478,1.7022,1.4534,1.3238,1.5459
21,0.8736,0.8853,0.8806,0.8798,0.882,0.8861,0.8779,0.8837,0.8688,0.8801,0.8812,1.7168,1.3989,1.0987,2.0674,1.5189,1.5855,1.6804,1.6093,1.6737,1.3115,1.3948
22,0.871,0.8853,0.8791,0.8749,0.8821,0.8862,0.8787,0.8815,0.872,0.8766,0.8787,1.4867,1.7436,1.1759,1.6108,1.5949,1.458,1.5821,1.6613,1.6137,1.4652,1.7404
23,0.8762,0.884,0.8813,0.8769,0.8807,0.8861,0.8812,0.8824,0.8699,0.8825,0.8822,1.5563,1.4087,1.5075,1.3583,1.5662,1.7937,1.5449,1.8616,1.7345,1.4589,1.8328
24,0.8699,0.8844,0.8847,0.875,0.8799,0.888,0.8743,0.8799,0.8659,0.8798,0.8825,1.6596,1.442,1.5474,1.5334,1.7404,1.6761,1.4421,1.5405,1.8635,1.3004,1.3558
25,0.8736,0.8835,0.8824,0.8787,0.8842,0.8856,0.8767,0.8842,0.8711,0.8809,0.8785,2.0426,1.4606,1.4273,1.4242,1.1757,1.6283,1.4357,1.7602,1.6769,1.7654,1.7693
26,0.8702,0.8809,0.8839,0.8795,0.8841,0.8872,0.8768,0.8859,0.869,0.8812,0.8807,1.7323,1.414,1.4793,1.4398,1.7025,1.3232,1.4213,1.613,1.6301,1.6281,1.447
27,0.872,0.8858,0.8832,0.8754,0.8828,0.8848,0.8799,0.8801,0.8694,0.8851,0.8813,1.5818,1.7536,0.8823,1.2267,1.3415,1.2492,1.7151,1.4549,1.7782,1.196,1.5141
28,0.875,0.8844,0.8788,0.88,0.8813,0.8844,0.8803,0.8826,0.8701,0.8762,0.8811,1.3322,1.2966,1.184,1.4005,1.4202,1.5031,1.3111,1.3486,1.8002,1.3376,1.4805
29,0.8721,0.8843,0.8829,0.8773,0.8821,0.8823,0.8805,0.8788,0.868,0.8802,0.8819,1.378,1.2447,1.1332,1.5606,1.2538,1.2394,1.508,1.7188,1.5169,1.4832,1.5404
30,0.8709,0.8845,0.8818,0.8768,0.8842,0.885,0.88,0.8847,0.8698,0.8845,0.8798,1.7119,1.4237,1.3716,1.5929,1.5456,1.3296,1.6322,1.5797,1.5495,1.3763,1.3569
